gene_id,s_mtsc_complete_wt_rep3,s_mtsc_ezr_d1_td_single_tdbl_rep3,s_mtsc_klf5_a3_tdbl_first_half_rep3,s_mtsc_krt8_18_h9_tftd_dis_insertion_tf_rep2,s_mtsc_rin3_g2_tftd_dis_homozy_del_rep3,s_mtsc_rin3_h2_tftd_dis_insertion_td_rep2
ENSMUSG00000002477,5604,12797,11510,8276,13328,4966
ENSMUSG00000002486,611,1679,1167,937,1664,515
ENSMUSG00000002489,1114,3128,2346,1663,2627,1108
ENSMUSG00000002496,4032,11003,7921,5633,10069,3172
ENSMUSG00000002500,2,2,6,4,2,2
ENSMUSG00000002504,464,1105,764,660,1022,440
ENSMUSG00000002524,6358,17353,12415,9034,16237,5343
ENSMUSG00000002546,1257,3700,2733,1952,3513,879
ENSMUSG00000002550,1092,2737,2289,1786,2888,946
ENSMUSG00000002565,57,70,86,168,114,46
ENSMUSG00000002578,274,882,487,376,597,193
ENSMUSG00000002580,1013,2644,1878,1543,2941,764
ENSMUSG00000002588,0,0,0,1,0,0
ENSMUSG00000002602,5,10,10,8,7,2
ENSMUSG00000002603,700,1950,1290,1230,1693,503
ENSMUSG00000002608,1098,2747,3009,1520,2653,914
ENSMUSG00000002617,32,82,66,58,39,22
ENSMUSG00000002625,1697,4620,4357,2887,5166,1645
ENSMUSG00000002633,5,1,0,0,1,0
ENSMUSG00000002635,523,1425,1110,757,1262,439
ENSMUSG00000002658,3549,10769,7392,5781,10096,3024
ENSMUSG00000002660,2839,7380,5350,4427,7374,2330
ENSMUSG00000002661,348,707,612,540,876,293
ENSMUSG00000002664,1,0,4,1,4,1
ENSMUSG00000002668,72,395,85,20,226,64
ENSMUSG00000002679,1328,3332,2462,2198,3181,1077
ENSMUSG00000002688,23,101,62,46,77,16
ENSMUSG00000002699,0,0,0,0,0,1
ENSMUSG00000002718,12431,36612,26810,17963,33032,10424
ENSMUSG00000002728,3091,7757,6055,4801,8292,2533
ENSMUSG00000002731,605,1441,1281,1100,1520,465
ENSMUSG00000002732,39,80,102,105,131,40
ENSMUSG00000002733,2232,6509,4780,3167,5866,1626
ENSMUSG00000002741,4086,11017,8178,6443,11327,3351
ENSMUSG00000002748,7991,24774,18024,10981,22156,6901
ENSMUSG00000002763,1564,4373,3714,2364,4473,1493
ENSMUSG00000002767,2770,7086,5271,3936,7279,2318
ENSMUSG00000002768,2221,5409,3923,3154,5299,1532
ENSMUSG00000002769,174,406,272,397,615,156
ENSMUSG00000002771,150,320,212,165,393,107
