gene_id,s_mtsc_complete_wt_rep2,s_mtsc_ezr_d1_td_single_tdbl_rep2,s_mtsc_klf5_a3_tdbl_first_half_rep2,s_mtsc_krt8_18_f7_tftd_dis_insertion_tf,s_mtsc_krt8_18_h9_tftd_dis_insertion_tf,s_mtsc_rin3_g2_tftd_dis_homozy_del_rep2
ENSMUSG00000002017,3207,3866,2956,3424,3442,3850
ENSMUSG00000002020,89,83,81,153,236,95
ENSMUSG00000002028,31488,30468,23637,31507,35394,37892
ENSMUSG00000002031,7104,6953,8939,7954,9163,8269
ENSMUSG00000002032,294,290,250,246,218,349
ENSMUSG00000002033,0,0,0,0,0,0
ENSMUSG00000002043,1074,1523,1551,1320,1905,1381
ENSMUSG00000002052,20643,23399,21700,22703,23110,23721
ENSMUSG00000002055,7490,9270,8519,8227,10193,9550
ENSMUSG00000002057,3,2,4,6,12,2
ENSMUSG00000002058,878,1027,1043,1090,1043,1239
ENSMUSG00000002059,1446,1421,1726,1662,1809,1568
ENSMUSG00000002064,2409,3024,2982,3061,2828,3203
ENSMUSG00000002068,4985,4539,4866,5385,4522,3763
ENSMUSG00000002076,82,142,99,138,83,152
ENSMUSG00000002083,1352,1651,1861,1660,2178,1653
ENSMUSG00000002100,135,108,122,292,185,138
ENSMUSG00000002102,19750,23899,22225,20737,20321,22412
ENSMUSG00000002103,2780,3355,2775,2902,2864,3736
ENSMUSG00000002104,5,5,1,10,0,0
ENSMUSG00000002105,1632,1596,1692,1822,2236,1916
ENSMUSG00000002107,408,524,391,662,482,398
ENSMUSG00000002108,288,370,303,456,252,383
ENSMUSG00000002109,1663,2017,1806,1793,1813,2398
ENSMUSG00000002111,21,0,9,12,17,25
ENSMUSG00000002129,10386,12302,11679,11053,13334,12583
ENSMUSG00000002147,177,331,155,270,167,575
ENSMUSG00000002190,61,84,38,95,70,50
ENSMUSG00000002204,0,0,0,0,0,0
ENSMUSG00000002205,968,1106,1158,1082,1127,1137
ENSMUSG00000002210,919,966,1037,876,985,1000
ENSMUSG00000002221,5241,5241,4768,5523,4871,5456
ENSMUSG00000002222,8049,9148,7312,9233,8732,9002
ENSMUSG00000002227,3893,4901,4774,4157,4181,5240
ENSMUSG00000002228,3387,3023,4112,3198,3411,3662
ENSMUSG00000002233,7174,9383,8025,7144,6435,9516
ENSMUSG00000002240,0,0,0,0,0,0
ENSMUSG00000002249,7547,8345,8517,8647,7780,9272
ENSMUSG00000002250,3623,3843,3623,3463,3935,4957
ENSMUSG00000002257,549,507,582,556,870,812
ENSMUSG00000002265,28351,30024,19072,42635,26632,33994
ENSMUSG00000002266,52,32,15,78,46,39
ENSMUSG00000002274,853,993,988,898,943,982
ENSMUSG00000002279,1271,1689,1651,1660,1727,1837
ENSMUSG00000002280,1243,1465,1499,1463,1516,1428
ENSMUSG00000002289,14,13,9,26,7,11
ENSMUSG00000002297,12319,13857,13009,14508,15622,15677
ENSMUSG00000002307,3970,4937,5034,5520,5212,4903
ENSMUSG00000002308,1693,1997,1915,2145,1780,2197
ENSMUSG00000002319,3357,4042,3957,4273,4145,3816
ENSMUSG00000002320,3215,3486,3107,3423,3397,3778
ENSMUSG00000002324,358,514,489,703,459,675
ENSMUSG00000002325,627,828,631,705,656,824
ENSMUSG00000002326,1359,1558,1633,1408,1780,1771
ENSMUSG00000002329,1427,1823,1688,1419,1752,1937
ENSMUSG00000002332,1719,1689,1760,1860,1738,2177
ENSMUSG00000002341,1,2,5,10,0,3
ENSMUSG00000002342,3885,4469,4464,4503,5010,4742
ENSMUSG00000002343,523,592,622,633,649,641
ENSMUSG00000002345,893,1171,1081,1073,1141,1129
ENSMUSG00000002346,653,650,568,524,948,719
ENSMUSG00000002365,10027,11951,10318,11798,14331,13571
ENSMUSG00000002372,7598,9130,9110,9947,9601,9304
ENSMUSG00000002379,2995,3643,3627,3552,3556,3622
ENSMUSG00000002384,12383,15928,11715,12836,15209,12308
ENSMUSG00000002393,1756,1956,2056,2394,2274,1972
